RANGE|NUM|PLAN_START_DATE|LOCATION_DATE|LOCATION|ITEM_NUMBER|1ST_DESCRIPTION|2ND_DESCRIPTION|ITEM_SIZE|QUANTITY_ON_HAND|ON_ORDER|NOTES|PRICE
A|1|8/5/2024|202432|WOA1|12821|Aegopodium 'Variegatum'|Snow on the Mountain|#1 G|354|0||
A|1|5/13/2024|202531|WOA1|7254|Ajuga reptans 'Catlins Giant'|Catlins Giant Bugleweed|#1 G|6|0||
A|1|9/11/2025|202546|WOA1|867|Ajuga Reptans 'Chocolate Chip'|Chocolate Chip Ajuga|#1 G|104|0||
A|1|5/15/2025|202527|WOA1|9576|Alchemilla Mollis 'Thriller'|Thriller Lady's Mantle|#1 G|352|50||
A|1|5/8/2025|202526|WOA1|15525|Alchemilla Mollis 'Thriller'|Thriller Lady's Mantle|#2 G|113|0||
A|1|4/29/2024|202529|WOA1|15956|Aruncus dioicus|Goats Beard|#1 G|8|0||
A|1|7/10/2025|202535|WOA1|9677|Astilbe 'Visions'|Purple Visions Astilbe|#1 G|347|0||
A|1|8/1/2025|202526|WOA1|12826|Astilbe 'Visions In Pink'|Pink Visions Astilbe|#2 G|150|0||
A|1|5/13/2024|202430|WOA1|7197|Ceratostigma plumbaginoides|Dwarf Plumbago|#1 G|106|0||
A|1|5/22/2025|202529|WOA1|23959|Chelone obliqua 'Tiny Tortuga'|Tiny Tortuga Turtlehead|#1 G|92|0||
A|1|5/6/2025|202535|WOA1|22871|Gaultheria pro 'Cherry Berries|Cherry Berries Wintergreen|#1 G|121|0||
A|1|5/22/2025|202621|XXA1|23880|Gaultheria procumbens|Wintergreen|#1 G|11|0|READY JUNE 2026|
A|1|4/17/2025|202619|XXA1|17517|Helleborus 'Brandywine'|Brandywine Lenten Rose|#1 G|18|0|READY JUNE 2026|
A|1|5/23/2025|202620|WOA1|23249|Helleborus niger|Christmas Lenten Rose|#1 G|1|0|READY JUNE 2026|
A|1|4/3/2025|202519|WOA1|15985|Helleborus 'Paris In Pink'|Paris In Pink Lenten Rose|#1 G|1|0|READY LATE MAY 2026|
A|1|4/3/2025|202522|WOA1|23620|Helleborus 'Pine Knot Strain'|Pine Knot Strain Lenten Rose|#1 G|117|0||
A|1|4/8/2024|202426|WOA1|16112|Helleborus 'Rome in Red'|Rome in Red Lenten Rose|#1 G|41|0||
A|1|4/6/2023|202344|WOA1|9688|Hosta 'AureoMarginata|Aureo Marginata Hosta|#2 G|29|0||
A|1|4/6/2024|202524|WOA1|FP005|Hosta 'Big Daddy'|Big Daddy Hosta|#1 G|89|25||
A|1|7/15/2024|202533|WOA1|7389|Hosta 'Blue Angel'|Blue Angel Hosta|#1 G|13|0||
A|1|8/5/2024|202440|WOA1|9684|Hosta 'Blue Angel'|Blue Angel Hosta|#2 G|26|0||
A|1|4/4/2025|202620|XXA1|12833|Hosta 'Blue Mouse Ears'|Mouse Ears Blue Hosta|#1 G|273|0|READY LATE MAY 2026|
A|1|3/18/2024|202424|WOA1|9685|Hosta 'Earth Angel'|Earth Angel Hosta|#1 G|42|0||
A|1|4/8/2024|202426|WOA1|9690|Hosta 'Francis Williams'|Frances Williams Hosta|#1 G|70|70||
A|1|4/8/2024|202426|WOA1|8104|Hosta 'Golden Standard'|Gold Standard Hosta|#1 G|85|0||
A|1|8/30/2022|202340|WOA1|9691|Hosta 'Golden Standard'|Gold Standard Hosta|#2 G|18|0||
A|1|3/14/2022|202340|WOA1|9656|Hosta 'Golden Tiara'|Golden Tiara Hosta|#1 G|65|0||
A|1|4/8/2024|202426|WOA1|16383|Hosta 'Guacamole'|Guacamole Hosta|#1 G|155|0||
A|1|3/25/2024|202430|WOA1|21777|Hosta 'Guacamole'|Guacamole Hosta|#3 G|36|36||
A|1|4/21/2025|202619|XXA1|7388|Hosta 'June'|June Hosta|#1 G|257|0|READY JUNE 2026|
A|1|4/13/2023|202527|WOA1|9657|Hosta 'Krossa Regal'|Krossa Regal Hosta|#1 G|32|32||
A|1|4/29/2025|202526|WOA1|9658|Hosta 'Krossa Regal'|Krossa Regal Hosta|#2 G|15|0||
A|1|4/13/2023|202340|WOA1|16090|Hosta Risky Business|Risky Business Hosta|#1 G|130|0||
A|1|4/1/2024|202424|WOA1|1662|Hosta 'Royal Standard'|Hosta Royal Standard|#1 G|78|0||
A|1|5/13/2024|202436|WOA1|21561|Hosta SHADOWLAND 'Hudson Bay'|Hudson Bay Hosta|8" G PW|70|0||
A|1|5/13/2024|202430|WOA1|20611|Hosta Shadowland® 'Empress Wu'|Empress Wu Hosta|8" G PW|93|0||
A|1|6/9/2022|202532|WOA1|9687|Hosta Sieboldiana 'Elegans'|Elegans Blue Hosta|#2 G|65|0||
A|1|6/9/2022|202445|WOA1|5015|Hosta Sieboldiana 'Elegans'|Elegans Blue Hosta|#3 G|12|8||
A|1|4/7/2022|202418|WOA1|832|Hosta Sieboldiana 'Elegans'|Elegans Blue Hosta|#1 G|122|0||
A|1|4/8/2024|202536|WOA1|11110|Hosta 'Stained Glass'|Stained Glass Hosta|#1 G|6|0||
A|1|4/21/2025|202529|WOA1|17228|Hosta 'White Feather'|White Feather Hosta|#1 G|68|0||
A|1|5/8/2025|202526|WOA1|8100|Lamium Orchid Frost|Orchid Frost Dead Nettle|#1 G|363|0||
A|1|5/9/2025|202539|WOA1|8706|Lamium 'Purple Dragon'|Purple Dragon Dead Nettle|#1 G|161|0||
A|1|5/7/2025|202533|WOA1|11240|Lamium 'White Nancy'|White Nancy Dead Nettle|#1 G|1|0||
A|1|5/12/2025|202525|WOA1|9586|Penstemon 'Huskers Red'|Huskers Red Beard Tongue|#1 G|100|0||
A|1|6/27/2025|202541|WOA1|19521|Rodgersia 'Bronze Peacock'|Rodger's Flower|#1 G|93|0||
A|1|5/20/2024|202531|WOA1|17339|Stylophorum diphyllum|Celandine Poppy|#1 G|1|0||
A|1|4/17/2025|202537|WOA1|18879|Tiarella cord. 'Oakleaf'|Oakleaf Foam Flower|#1 G|1|0||
A|1|5/12/2025|202525|WOA1|18889|Tiarella 'Finger Paint'|Finger Paint Foam Flower|#1 G|465|0||
A|1|6/6/2025|202536|WOA1|22163|Tiarella 'Pink Skyrocket'|Pink Skyrocket Foam Flower|#1 G|91|0||
A|1|5/4/2024|202427|WOA1|12840|Tiarella x 'Elizabeth Oliver'|Elizabeth Oliver Foam Flower|#1 G|17|0||
A|3|10/16/2025|202622|XXA3|867|Ajuga Reptans 'Chocolate Chip'|Chocolate Chip Ajuga|#1 G|555|0|READY MID JUNE 2026|
A|3|10/15/2025|202622|XXA3|24806|Hedera Helix 'Yellow Ripple'|Yellow Variegated English Ivy|#1 G|239|0|READY MID JUNE 2026|
A|3|5/19/2025|202526|WOA3|17344|Heuchera 'Black Taffeta'|Black Taffeta Coral Bells|#1 G|64|0||
A|3|5/30/2025|202528|WOA3|8200|Heuchera 'Caramel' PP16560|Caramel Coral Bells|#1 G|374|261||
A|3|5/16/2025|202529|WOA3|9573|Heuchera 'Caramel' PP16560|Caramel Coral Bells|#2 G|48|0||
A|3|5/13/2025|202527|WOA3|18905|Heuchera Dolce 'Silver Gumdrop|Silver Gumdrop Coral Bells|8" G PW|62|0||
A|3|5/13/2024|202437|WOA3|18906|Heuchera Dolce 'Wildberry'|Wildberry Coral Bells|8" G PW|85|0||
A|3|5/19/2025|202526|WOA3|13828|Heuchera 'Fire Alarm'|Fire Alarm Coral Bells|#1 G|90|0||
A|3|5/20/2025|202531|WOA3|11192|Heuchera 'Firefly'|Firefly Green Coral Bells|#1 G|102|0||
A|3|5/29/2025|202621|XXA3|17358|Heuchera Forever® Purple|Forever Purple Coral Bells|#1 G|3|0|READY JUNE 2026|
A|3|5/19/2025|202619|XXA3|21784|Heuchera 'Forever® Red'|Forever Red Coral Bells|#1 G|13|0|READ LATE MAY 2026|
A|3|5/21/2025|202621|XXA3|18917|Heuchera 'Green Spice'|Green Spice Coral Bells|#1 G|78|0|READY JUNE 2026|
A|3|5/16/2025|202526|WOA3|13140|Heuchera 'Marmalade' PP15945|Marmalade Coral Bells|#1 G|122|0||
A|3|5/19/2025|202526|WOA3|9847|Heuchera Midnight Rose PP18551|Midnight Rose Coral Bells|#1 G|189|0||
A|3|5/19/2025|202526|WOA3|11166|Heuchera 'Obsidian' PP14836|Obsidian Coral Bells|#1 G|71|0||
